Format,Size,Zlib,Brotli,Zstd
JND,446494,223798,180221,250055
JSON,1693845,272600,118260,252516
MsgPack,1544023,276929,120366,255235
CBOR,1526616,275117,120209,252489
BSON,1777765,311755,131003,292213
UBJSON,1636856,276663,120186,257180
