Format,Uncompressed,Zlib,Brotli,Zstd
JND,40853,13235,11374,14102
JSON,53337,9368,7401,9273
MsgPack,49430,10053,7953,10077
CBOR,48973,9920,7884,9967
BSON,53643,10740,8344,10730
UBJSON,51384,10137,7981,10016
