Format,Uncompressed,Zlib,Brotli,Zstd
JND,377259,159365,136695,182971
JSON,533048,121013,93093,130932
MsgPack,478461,126630,97160,137931
CBOR,475933,125408,96823,135245
BSON,558427,138653,102376,151887
UBJSON,515890,129271,97785,138579
