Format,Size,Zlib,Brotli,Zstd
JND,417083,215093,160608,311931
JSON,650573,182059,141527,172785
MsgPack,413633,172058,129701,202444
CBOR,414605,171998,129542,202757
BSON,910653,309546,190483,321650
UBJSON,435754,172175,130462,213169
