Format,Uncompressed,Zlib,Brotli,Zstd
JND,17315,6481,5557,6623
JSON,108313,2963,2282,3039
MsgPack,84628,2867,2339,3106
CBOR,85507,2865,2389,3058
BSON,113912,4387,3105,3833
UBJSON,97367,2964,2316,3053
